Room,Current Residents,Key num,Total Last key,Keys on hook,Error,Other Codes,Notes,,,,,,,,,,,,,,,,,,
11,2,3--48,2,0,0,,,,,,,,,,,,,,,,,,,,
11,2,3--49,2,0,0,,,,,,,,,,,,,,,,,,,,
11,1,3--50,2,0,-1,,,,,,,,,,,,,,,,,,,,
11,1,3--51,2,0,-1,,,,,,,,,,,,,,,,,,,,
11,1,3--52,2,1,0,,,,,,,,,,,,,,,,,,,,
11,0,3--53,2,,,,,,,,,,,,,,,,,,,,,,
11,1,3--54,2,1,0,,,,,,,,,,,,,,,,,,,,
11,2,3--55,1,2,3,,,,,,,,,,,,,,,,,,,,
11,1,3--56,2,2,1,,,,,,,,,,,,,,,,,,,,
11,2,3--57,2,0,0,,,,,,,,,,,,,,,,,,,,
11,2,3--58,1,3,4,,,,,,,,,,,,,,,,,,,,
11,0,3--59,1,0,-1,,,,,,,,,,,,,,,,,,,,
11,1,3--60,3,1,-1,,,,,,,,,,,,,,,,,,,,
11,2,3--61,3,1,0,,,,,,,,,,,,,,,,,,,,
11,1,3--62,3,1,-1,,,,,,,,,,,,,,,,,,,,
11,1,3--63,1,0,0,,,,,,,,,,,,,,,,,,,,
11,1,3--64,4,2,-1,,,,,,,,,,,,,,,,,,,,
11,1,3--65,2,2,1,,,,,,,,,,,,,,,,,,,,
11,2,3--66,2,2,2,,,,,,,,,,,,,,,,,,,,
11,1,3--67,3,3,1,,,,,,,,,,,,,,,,,,,,
11,1,3--68,3,4,2,,,,,,,,,,,,,,,,,,,,
11,9,3--69,2,0,7,,,,,,,,,,,,,,,,,,,,
11,2,3--70,4,0,-2,,,,,,,,,,,,,,,,,,,,
11,2,3--71,2,1,1,,,,,,,,,,,,,,,,,,,,
10,4,C29X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C30,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C31,1,1,1,,,,,,,,,,,,,,,,,,,,
10,1,C32,1,0,0,,,,,,,,,,,,,,,,,,,,
10,1,C33,,0,1,,,,,,,,,,,,,,,,,,,,
10,2,C93X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C93,,2,,,,,,,,,,,,,,,,,,,,,
10,1,C94,3,2,0,,,,,,,,,,,,,,,,,,,,
10,2,A84,4,,,,,,,,,,,,,,,,,,,,,,
10,1,C37 ,,3,4,,,,,,,,,,,,,,,,,,,,
10,1,C38,,1,2,2 C2,,,,,,,,,,,,,,,,,,,
